x,p,U_0,U_1,U_2
-5,68228.1,0,0,0
-4.94975,68228.9,4.453,0,0
-4.8995,68385,8.78758,0,0
-4.84925,68539.7,13.1367,0,0
-4.79899,68601.5,18.4375,0,0
-4.74874,68670.3,23.7487,0,0
-4.69849,69008.4,29.467,0,0
-4.64824,69352.2,35.2125,0,0
-4.59799,69851.8,41.7088,0,0
-4.54774,70353.6,48.2153,0,0
-4.49749,70900.8,54.9387,0,0
-4.44724,71436,61.6201,0,0
-4.39698,71764,67.5794,0,0
-4.34673,72072,73.4639,0,0
-4.29648,72092.4,78.2732,0,0
-4.24623,72085.6,83.0049,0,0
-4.19598,71742.4,86.7796,0,0
-4.14573,71368.9,90.4437,0,0
-4.09548,70669.3,92.9177,0,0
-4.04523,69960,95.3464,0,0
-3.99497,69159,97.3439,0,0
-3.94472,68363.1,99.3536,0,0
-3.89447,67610.6,101.467,0,0
-3.84422,66867.2,103.609,0,0
-3.79397,66193.2,105.97,0,0
-3.74372,65525,108.348,0,0
-3.69347,64897.8,110.847,0,0
-3.64322,64272,113.348,0,0
-3.59296,63654.3,115.857,0,0
-3.54271,63037.9,118.364,0,0
-3.49246,62428.7,120.855,0,0
-3.44221,61818.3,123.341,0,0
-3.39196,61201.8,125.796,0,0
-3.34171,60591.4,128.257,0,0
-3.29146,60012.3,130.744,0,0
-3.24121,59425.9,133.22,0,0
-3.19095,58805.5,135.637,0,0
-3.1407,58205.6,138.075,0,0
-3.09045,57696.5,140.607,0,0
-3.0402,57156.5,143.099,0,0
-2.98995,56489.1,145.426,0,0
-2.9397,55880.5,147.81,0,0
-2.88945,55500,150.413,0,0
-2.8392,55033.6,152.935,0,0
-2.78894,54253.5,155.162,0,0
-2.73869,53601.7,157.484,0,0
-2.68844,53391.6,160.138,0,0
-2.63819,53017.3,162.697,0,0
-2.58794,52108.8,164.951,0,0
-2.53769,51400.8,167.278,0,0
-2.48744,51311,169.831,0,0
-2.43719,51006.7,172.354,0,0
-2.38693,50075.8,174.786,0,0
-2.33668,49367.7,177.196,0,0
-2.28643,49277.5,179.546,0,0
-2.23618,48980.4,181.951,0,0
-2.18593,48138.1,184.499,0,0
-2.13568,47490.4,186.966,0,0
-2.08543,47331,189.232,0,0
-2.03518,47004.8,191.593,0,0
-1.98492,46279.9,194.182,0,0
-1.93467,45698.7,196.664,0,0
-1.88442,45444.7,198.901,0,0
-1.83417,45080.3,201.252,0,0
-1.78392,44475.7,203.849,0,0
-1.73367,43960.8,206.353,0,0
-1.68342,43632.3,208.662,0,0
-1.63317,43238.6,211.055,0,0
-1.58291,42715.7,213.612,0,0
-1.53266,42243,216.096,0,0
-1.48241,41865.6,218.444,0,0
-1.43216,41459.3,220.857,0,0
-1.38191,41000.8,223.391,0,0
-1.33166,40566.7,225.887,0,0
-1.28141,40175.1,228.318,0,0
-1.23116,39770.9,230.774,0,0
-1.1809,39345.8,233.271,0,0
-1.13065,38931.2,235.738,0,0
-1.0804,38533.3,238.157,0,0
-1.03015,38134.4,240.585,0,0
-0.979899,37734.1,243.026,0,0
-0.929648,37344.8,245.477,0,0
-0.879397,36971.6,247.943,0,0
-0.829146,36598.7,250.408,0,0
-0.778894,36226.4,252.872,0,0
-0.728643,35855.7,255.297,0,0
-0.678392,35487.1,257.669,0,0
-0.628141,35119.3,259.988,0,0
-0.577889,34752.4,262.237,0,0
-0.527638,34411.4,264.564,0,0
-0.477387,34102.7,266.987,0,0
-0.427136,33789.1,269.363,0,0
-0.376884,33469.9,271.682,0,0
-0.326633,33142.3,273.764,0,0
-0.276382,32805.1,275.571,0,0
-0.226131,32515.7,277.421,0,0
-0.175879,32279.1,279.317,0,0
-0.125628,32085.1,281.048,0,0
-0.0753769,31936.4,282.601,0,0
-0.0251256,31807.7,283.688,0,0
0.0251256,31699.5,284.298,0,0
0.0753769,31656.8,284.64,0,0
0.125628,31678.4,284.718,0,0
0.175879,31687.3,284.318,0,0
0.226131,31684.4,283.47,0,0
0.276382,31666.5,282.706,0,0
0.326633,31635.2,282.017,0,0
0.376884,31667.4,281.926,0,0
