x,p,U_0,U_1,U_2
-5,27254.5,0,0,0
-4.94975,27254.5,2.51919,0,0
-4.8995,27254.6,5.06264,0,0
-4.84925,27254.5,7.60569,0,0
-4.79899,27248.2,10.1225,0,0
-4.74874,27242.1,12.6397,0,0
-4.69849,27243.8,15.1681,0,0
-4.64824,27245,17.6957,0,0
-4.59799,27232.7,20.2017,0,0
-4.54774,27221.2,22.7088,0,0
-4.49749,27228.8,25.2414,0,0
-4.44724,27234.7,27.771,0,0
-4.39698,27211,30.2502,0,0
-4.34673,27190.8,32.7356,0,0
-4.29648,27219.7,35.3118,0,0
-4.24623,27242.3,37.8783,0,0
-4.19598,27186.2,40.3236,0,0
-4.14573,27141.3,42.7873,0,0
-4.09548,27216,45.4479,0,0
-4.04523,27272.2,48.0813,0,0
-3.99497,27150.7,50.4566,0,0
-3.94472,27058,52.8656,0,0
-3.89447,27209.6,55.5621,0,0
-3.84422,27320,58.2185,0,0
-3.79397,27113.8,60.5666,0,0
-3.74372,26961.9,62.9547,0,0
-3.69347,27190.3,65.6233,0,0
-3.64322,27351.3,68.2635,0,0
-3.59296,27080.8,70.721,0,0
-3.54271,26887.2,73.1934,0,0
-3.49246,27146.5,75.7529,0,0
-3.44221,27323.1,78.3159,0,0
-3.39196,27048.9,80.8973,0,0
-3.34171,26858.7,83.4558,0,0
-3.29146,27093.9,85.8985,0,0
-3.24121,27247.4,88.3792,0,0
-3.19095,27016.2,91.0389,0,0
-3.1407,26860.2,93.6498,0,0
-3.09045,27035.2,96.0456,0,0
-3.0402,27142.8,98.4978,0,0
-2.98995,26971.8,101.183,0,0
-2.9397,26858.1,103.812,0,0
-2.88945,26967.4,106.225,0,0
-2.8392,27028.4,108.691,0,0
-2.78894,26913.2,111.354,0,0
-2.73869,26836.6,113.969,0,0
-2.68844,26893.1,116.416,0,0
-2.63819,26918.8,118.906,0,0
-2.58794,26843.8,121.539,0,0
-2.53769,26792.4,124.136,0,0
-2.48744,26813.5,126.624,0,0
-2.43719,26816.5,129.14,0,0
-2.38693,26766.3,131.734,0,0
-2.33668,26729.3,134.307,0,0
-2.28643,26728.7,136.82,0,0
-2.23618,26718,139.35,0,0
-2.18593,26680.4,141.925,0,0
-2.13568,26650,144.488,0,0
-2.08543,26637.6,147.02,0,0
-2.03518,26620.1,149.563,0,0
-1.98492,26590.1,152.132,0,0
-1.93467,26563.6,154.694,0,0
-1.88442,26545.1,157.241,0,0
-1.83417,26523.8,159.792,0,0
-1.78392,26496.2,162.351,0,0
-1.73367,26470.2,164.906,0,0
-1.68342,26447.6,167.45,0,0
-1.63317,26422.8,169.991,0,0
-1.58291,26393.7,172.529,0,0
-1.53266,26365.1,175.059,0,0
-1.48241,26337.6,177.573,0,0
-1.43216,26308.9,180.083,0,0
-1.38191,26278,182.584,0,0
-1.33166,26249.2,185.087,0,0
-1.28141,26223.8,187.595,0,0
-1.23116,26196.6,190.104,0,0
-1.1809,26166.1,192.616,0,0
-1.13065,26138.5,195.133,0,0
-1.0804,26115.3,197.659,0,0
-1.03015,26095.6,200.212,0,0
-0.979899,26081.3,202.806,0,0
-0.929648,26069.8,205.422,0,0
-0.879397,26062.4,208.068,0,0
-0.829146,26049.2,210.658,0,0
-0.778894,26027.9,213.168,0,0
-0.728643,26007.2,215.643,0,0
-0.678392,25987.4,218.073,0,0
-0.628141,25973,220.497,0,0
-0.577889,25965.7,222.915,0,0
-0.527638,25949.5,225.262,0,0
-0.477387,25922.5,227.521,0,0
-0.427136,25900.1,229.642,0,0
-0.376884,25883.5,231.598,0,0
-0.326633,25877,233.363,0,0
-0.276382,25882,234.909,0,0
-0.226131,25907.6,236.325,0,0
-0.175879,25956,237.597,0,0
-0.125628,26009.1,238.596,0,0
-0.0753769,26067.3,239.303,0,0
-0.0251256,26136.7,239.862,0,0
0.0251256,26217.5,240.27,0,0
0.0753769,26394.9,241.451,0,0
0.125628,26666.9,243.39,0,0
0.175879,27015.3,245.988,0,0
0.226131,27435.5,249.207,0,0
0.276382,27716.2,251.439,0,0
0.326633,27870.6,252.777,0,0
0.376884,27935,253.349,0,0
0.427136,27921.1,253.255,0,0
0.477387,27917.9,253.217,0,0
0.527638,27923.7,253.225,0,0
0.577889,27931.2,253.336,0,0
0.628141,27940.2,253.529,0,0
0.678392,28005.5,254.118,0,0
0.728643,28114.2,255.012,0,0
0.778894,28581.3,258.903,0,0
0.829146,29313.3,265.009,0,0
0.879397,30288.9,272.32,0,0
0.929648,31437.3,280.487,0,0
0.979899,32234.5,286.611,0,0
1.03015,32792.7,291.345,0,0
